Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,RC médio,RC máximo,Efeito de treino aeróbico,Cadência média de corrida,Cadência máx. de corrida,Ritmo médio,Melhor ritmo,Subida total,Descida total,Comprimento médio da passada,Taxa vertical média,Oscilação vertical média,Tempo médio de contacto com o solo,GAP médio,Normalized Power® (NP®),Training Stress Score®,Potência média,Potência máx.,Passos,Consumo da Body Battery,Descompressão,Tempo da melhor volta,Número de voltas,Tempo em movimento,Tempo decorrido,Elevação mínima,Elevação máxima
Corrida,2026-06-28 09:34:29,false,"Porto Corrida","10.01","591","00:54:31","173","185","5.0","187","224","5:27","3:38","22","30","0.98","8.0","7.8","231","5:26","235","0.0","232","332","10,224","'-16","Não","00:00:01.4","11","00:54:22","00:54:45","10","21"
Corrida,2026-06-23 13:12:07,false,"Porto Corrida","5.52","321","00:32:23","156","176","3.6","183","196","5:52","4:27","47","43","0.93","8.4","7.8","238","5:47","225","0.0","222","317","5,926","'-8","Não","00:03:02.5","6","00:32:12","00:33:49","92","123"
Corrida,2026-06-20 08:27:19,false,"Porto Corrida","4.48","281","00:29:15","159","177","3.2","179","192","6:32","4:21","40","39","0.85","8.8","7.4","250","6:28","202","0.0","198","313","5,286","'-8","Não","00:03:29.0","5","00:28:56","00:35:30","89","118"
Corrida,2026-06-19 17:48:34,false,"Porto Corrida","10.00","590","00:59:18","160","180","4.4","183","194","5:56","5:12","38","62","0.91","8.4","7.7","241","5:56","221","0.0","217","315","10,856","'-10","Não","00:00:03.1","11","00:59:05","01:02:14","9","58"
Corrida,2026-06-18 17:43:38,false,"Porto Corrida","6.01","352","00:35:42","155","171","3.5","185","195","5:56","4:37","46","45","0.91","8.4","7.7","239","5:53","226","0.0","223","341","6,548","'-6","Não","00:00:03.6","7","00:35:38","00:35:42","90","113"
Corrida,2026-06-14 10:01:27,false,"Porto Corrida","10.39","607","01:00:12","162","176","4.4","188","198","5:48","5:02","37","38","0.92","8.2","7.5","235","5:47","220","0.0","218","292","11,290","'-15","Não","00:02:22.9","11","01:00:04","01:03:10","8","25"
Corrida,2026-06-13 18:55:34,false,"Porto Corrida","6.10","374","00:37:56","160","180","3.6","177","190","6:13","5:05","41","47","0.90","8.7","7.8","245","6:11","213","0.0","208","273","6,722","'-8","Não","00:00:38.0","7","00:37:41","00:40:07","91","116"
Corrida,2026-06-12 17:48:17,false,"Porto Corrida","5.58","324","00:32:27","160","176","3.6","179","194","5:49","4:29","2","85","0.94","8.3","7.8","237","6:01","216","0.0","212","300","5,842","'-7","Não","00:03:23.5","6","00:32:18","00:42:47","23","115"
Corrida,2026-06-09 17:56:11,false,"Terras de Bouro - Corrida leve","8.01","485","00:48:44","157","178","3.9","184","194","6:05","5:23","102","101","0.89","8.6","7.6","242","5:58","224","0.0","218","336","8,894","'-8","Não","00:01:58.5","10","00:48:37","00:48:58","80","106"
Corrida,2026-06-06 10:24:13,false,"Terras de Bouro Corrida","5.01","293","00:27:39","166","186","3.6","185","202","5:31","4:26","54","62","0.97","8.1","7.9","233","5:30","240","0.0","234","343","5,134","'-8","Não","00:00:03.5","6","00:27:30","00:28:09","82","107"
Corrida,2026-06-05 18:14:22,false,"Terras de Bouro Corrida","2.03","129","00:15:00","140","166","2.2","170","207","7:23","5:05","88","92","0.80","9.5","7.4","257","6:33","218","0.0","201","300","2,564","'-8","Não","00:00:15.0","3","00:14:59","00:15:00","112","159"
Corrida,2026-06-04 09:52:34,false,"Vila Nova de Gaia - Repetições de passadas","5.12","313","00:31:17","158","183","3.5","172","212","6:06","3:08","18","13","0.93","8.4","7.7","238","5:58","224","0.0","210","369","5,394","'-8","Não","00:00:02.5","26","00:30:28","00:31:18","8","18"
